arm	size	budget_bt	gbs	lr	steps	tokens	loss	schedule
ckda-shipped-hybrid-lowrank	47M	50	128	0.002	95368	50000297984	2.7814	single
ckda-shipped-lowrank	124M	30	128	0.001	57221	30000283648	2.5581	single
ckda-shipped-lowrank	124M	50	128	0.001	95368	50000297984	2.5288	single
ckda-shipped-lowrank	47M	30	64	0.002	114441	30000021504	2.8220	single
ckda-shipped-lowrank	47M	50	128	0.002	95368	50000297984	2.7962	single
attn-qknorm	1.7B	6	64	0.0005	22889	6000214016	2.3725	single
attn-qknorm	1.7B	12	128	0.0005	22889	12000428032	2.2829	chain
attn-qknorm	1.7B	20	128	0.0005	38147	20000014336	2.2218	chain
attn-qknorm	1.7B	30	128	0.0005	57221	30000283648	2.1812	chain
attn-qknorm	1.7B	50	128	0.0005	95368	50000297984	2.1374	chain
attn-qknorm	588M	12	64	0.0005	45777	12000165888	2.4051	chain
attn-qknorm	588M	20	128	0.0005	38147	20000014336	2.3534	chain
attn-qknorm	588M	30	128	0.0005	57221	30000283648	2.3172	chain
attn-qknorm	588M	50	128	0.0005	95368	50000297984	2.2770	chain
attn-qknorm	588M	6	64	0.0005	22889	6000214016	2.4892	chain
attn-qknorm	983M	12	64	0.0005	45777	12000165888	2.3403	chain
attn-qknorm	983M	20	128	0.0005	38147	20000014336	2.2844	chain
attn-qknorm	983M	30	128	0.0005	57221	30000283648	2.2464	chain
attn-qknorm	983M	50	128	0.0005	95368	50000297984	2.2070	chain
attn-qknorm	983M	6	64	0.0005	22889	6000214016	2.4282	chain
attn	1.7B	6	64	0.0005	22889	6000214016	2.4001	single
attn	1.7B	12	128	0.0005	22889	12000428032	2.3100	chain
attn	1.7B	20	128	0.0005	38147	20000014336	2.2488	chain
attn	1.7B	30	128	0.0005	57221	30000283648	2.2077	chain
attn	1.7B	50	128	0.0005	95368	50000297984	2.1630	chain
attn	588M	12	64	0.0005	45777	12000165888	2.4346	chain
attn	588M	20	128	0.0005	38147	20000014336	2.3805	chain
attn	588M	30	128	0.0005	57221	30000283648	2.3436	chain
attn	588M	50	128	0.0005	95368	50000297984	2.3032	chain
attn	588M	6	64	0.0005	22889	6000214016	2.5209	chain
attn	983M	12	64	0.0005	45777	12000165888	2.3682	chain
attn	983M	20	128	0.0005	38147	20000014336	2.3114	chain
attn	983M	30	128	0.0005	57221	30000283648	2.2721	chain
attn	983M	50	128	0.0005	95368	50000297984	2.2298	chain
attn	983M	6	64	0.0005	22889	6000214016	2.4551	chain
kda-sig-hybrid-lowrank	1.7B	6	64	0.0005	22889	6000214016	2.3284	single
kda-sig-hybrid-lowrank	1.7B	12	128	0.0005	22889	12000428032	2.2399	chain
kda-sig-hybrid-lowrank	1.7B	20	128	0.0005	38147	20000014336	2.1795	chain
kda-sig-hybrid-lowrank	1.7B	30	128	0.0005	57221	30000283648	2.1395	chain
kda-sig-hybrid-lowrank	1.7B	50	128	0.0005	95368	50000297984	2.0971	chain
kda-sig-hybrid-lowrank	588M	12	64	0.0005	45777	12000165888	2.3556	chain
kda-sig-hybrid-lowrank	588M	20	128	0.0005	38147	20000014336	2.3051	chain
